,member_casual,start_station_name,number_of_rides,average_duration
45,casual,Public Rack - 63rd & Western Ave S,1,6.55
46,casual,Public Rack - Abbott Park,1,23.41666667
47,casual,Public Rack - Aida Food Market,1,12.98333333
48,casual,Public Rack - Albany Ave & 111th St - NW,1,0.233333333
49,casual,Public Rack - Ashland Ave & 71st St,1,19.71666667
50,casual,Public Rack - Ashland Ave & 76th St,1,47.51666667
51,casual,Public Rack - Austin Ave & Wellington Ave,1,4.883333333
52,casual,Public Rack - Ave L & 105th St,1,11.9
53,casual,Public Rack - Ave N & 106th St,1,5.5
54,casual,Public Rack - California Ave & Touhy Ave - midblock,1,11.81666667
55,casual,Public Rack - Central Ave & Adams St,1,31.95
56,casual,Public Rack - Chappel Ave & 71st St,1,9.2
57,casual,Public Rack - Claremont Ave & 71st St,1,2.783333333
58,casual,Public Rack - Clyde Ave & 87th St,1,15.33333333
59,casual,Public Rack - Cottage Grove Ave & 98th St,1,21.91666667
60,casual,Public Rack - Crandon Ave & 80th St,1,15.3
61,casual,Public Rack - Damen Ave & 80th St,1,15.56666667
62,casual,Public Rack - Division St & Christiana Ave,1,4.666666667
63,casual,Public Rack - East End Ave & 87th St,1,25.21666667
64,casual,Public Rack - Emerald Ave & 43rd St,1,21.08333333
65,casual,Public Rack - Ewing Ave & 102nd St,1,6.766666667
66,casual,Public Rack - Ewing Ave & 95th St,1,5.566666667
67,casual,Public Rack - Ewing Ave & 96th St N,1,6.766666667
68,casual,Public Rack - Halsted St & 109th St,1,15.05
69,casual,Public Rack - Halsted St & 113th St,1,13.03333333
70,casual,Public Rack - Halsted St & 95th St - SW,1,10.96666667
71,casual,Public Rack - Harding Ave & 47th St,1,17.53333333
72,casual,Public Rack - Harper Ave & 63rd St,1,8.066666667
73,casual,Public Rack - Hoyne Ave & 51st St,1,3.45
74,casual,Public Rack - Jeffery Blvd & 67th St,1,72.35
75,casual,Public Rack - Kedvale Ave & 63rd St,1,4.866666667
76,casual,Public Rack - Kedvale Ave & 63rd St E,1,5.75
77,casual,Public Rack - Kedzie Ave & 54th Pl,1,6.683333333
78,casual,Public Rack - Kedzie Ave & 63rd St,1,4.116666667
79,casual,Public Rack - Kedzie Ave & Walnut St,1,5.216666667
80,casual,Public Rack - Kedzie Ave &amp; 62nd Pl,1,6.05
81,casual,Public Rack - Keef Ave & South Chicago Ave,1,20.46666667
82,casual,Public Rack - Keeler Ave & 26th St,1,7.333333333
83,casual,Public Rack - Kildare Ave & Washignton Blvd,1,98.95
84,casual,Public Rack - Komensky Ave & 59th St,1,4.2
85,casual,Public Rack - Komensky Ave & 63rd St,1,9
86,casual,Public Rack - Kostner Ave & Lake St,1,13.85
87,casual,Public Rack - Lafayette Ave & 87th St SW,1,15.23333333
88,casual,Public Rack - Laflin St &51st ST,1,7.55
89,casual,Public Rack - Langley Ave & 87th St,1,6.5
90,casual,Public Rack - Maplewood Ave & 47th St,1,12.03333333
91,casual,Public Rack - Maplewood Ave & 63rd St,1,37.36666667
92,casual,Public Rack - Marshfield Ave & 87th St,1,53.98333333
93,casual,Public Rack - Martin Luther King Dr & 44th St,1,14.26666667
94,casual,Public Rack - Martin Luther King Dr & 69th St,1,16.8
95,casual,Public Rack - May St & 78th St,1,11.61666667
96,casual,Public Rack - Menard Ave & Adams Blvd,1,42.03333333
97,casual,Public Rack - Menard Ave & Madison St,1,13.1
98,casual,Public Rack - Michigan Ave & 119th St,1,3.9
99,casual,Public Rack - Michigan Ave & 96th St,1,7.3
100,casual,Public Rack - Morgan St & 87th St,1,9.066666667
101,casual,Public Rack - Mt Greenwood Library N,1,5.566666667
102,casual,Public Rack - Normal Ave & 72nd St,1,28.85
103,casual,Public Rack - Oakley Ave & 50th Pl,1,11.58333333
104,casual,Public Rack - Oleander Ave & Addison St,1,16.81666667
105,casual,Public Rack - Perry Ave & 108th Pl,1,8.3
106,casual,Public Rack - Perry Ave & 111th St,1,71.66666667
107,casual,Public Rack - Piotrowski Park,1,8.266666667
108,casual,Public Rack - Prairie Ave & 47th St ,1,4.866666667
109,casual,Public Rack - Pulaski Rd & 40th St,1,12.38333333
110,casual,Public Rack - Pulaski Rd & Polk St,1,8.583333333
111,casual,Public Rack - Pullman - Walmart,1,10.96666667
112,casual,Public Rack - Pullman Community Center,1,24.45
113,casual,Public Rack - Roscoe St & Osceola Ave,1,3.916666667
114,casual,Public Rack - Roswell B. Mason Elementary School,1,23.3
115,casual,Public Rack - Rutherford Ave & Belmont Ave,1,4.3
116,casual,Public Rack - S Kostner Ave & W 18th Pl,1,8.05
117,casual,Public Rack - Sawyer Ave & Bryn Mawr Ave - SE,1,0.416666667
118,casual,Public Rack - Springfield Ave & 63rd St,1,2.183333333
119,casual,Public Rack - Stewart Ave & 123rd St,1,17.81666667
120,casual,Public Rack - Talman Ave & 51st St,1,4.55
121,casual,Public Rack - Troy & 111th St,1,9.066666667
122,casual,Public Rack - Wentworth Ave & 103rd St,1,5.683333333
123,casual,Public Rack - Wentworth Ave & 79th St,1,22.91666667
124,casual,Public Rack - Western Ave & 116th St,1,14.31666667
125,casual,Pullman - Planet Fitness,1,9.783333333
126,casual,Pullman Community Center,1,11.6
127,casual,Racine Ave & 83rd St,1,71.78333333
128,casual,Rhodes Ave & 79th St,1,18.93333333
129,casual,Sacramento Blvd & Division St,1,7.016666667
130,casual,"Senka ""Edward Duke"" Park",1,5.733333333
131,casual,South Shore High School,1,5.216666667
132,casual,Stony Is Ave & 73rd St,1,32
133,casual,Stony Island & 95th St,1,18.83333333
134,casual,Torrence Ave & 103rd St,1,2.733333333
135,casual,Tuley (Murray) Park,1,5.033333333
136,casual,Vincennes Ave & 95th Pl,1,4.366666667
137,casual,Wentworth Ave & 79th St,1,22.95
138,casual,Western Ave & 116th St,1,2.383333333
139,casual,Western Blvd & 53rd St,1,10.63333333
140,casual,83rd St (Avalon Park) Metra,2,174.425
141,casual,Ada St & 117th St,2,24.575
142,casual,Ada St & 119th St,2,11.33333333
143,casual,Al Raby School,2,10.39166667
144,casual,Albany Ave & 103rd St,2,8.333333333
145,casual,Albany Ave & 111th St - NW,2,20.025
146,casual,Ashland Ave & 71st St,2,17.39166667
147,casual,Back of the Yards Park,2,45.775
148,casual,Calumet Ave & 103rd St,2,5.275
149,casual,Chappel Ave & 71st St,2,8.325
150,casual,Chase Ave & Touhy Ave - NE,2,6.166666667
151,casual,Christiana Ave & 111th St,2,7.008333333
152,casual,Colfax Ave & 83rd St,2,5.033333333
153,casual,Eggleston Ave & 114th St,2,7.441666667
154,casual,Ewing Ave & Indianapolis Ave,2,8.541666667
155,casual,Halsted St & 64th St,2,21.04166667
156,casual,Harvard Ave & 119th St,2,177
157,casual,Honore St & 87th St - SE,2,20.05833333
158,casual,Jeffery Blvd & 83rd St,2,6.7
159,casual,King Dr & 83rd St,2,4.508333333
160,casual,Lawrence Ave & 103rd St,2,9.991666667
161,casual,Linder Ave & Belmont Ave,2,19.06666667
162,casual,Lowe Ave & 98th St,2,6.291666667
163,casual,Martin Luther King Dr & 69th St,2,5.925
164,casual,May St & 63rd St,2,14.31666667
165,casual,McCormick Blvd & Devon Ave,2,54.91666667
166,casual,Menard Ave & Adams Blvd,2,10.175
167,casual,Michigan Ave & 113th St,2,10
168,casual,Michigan Ave & 119th St,2,34.30833333
169,casual,Michigan Ave & 96th St,2,47.975
170,casual,Morgan St & 95th St,2,5.466666667
171,casual,Nordica Ave & Addison St,2,20.63333333
172,casual,Orville T Bright School,2,9.858333333
173,casual,Piotrowski Park,2,8.841666667
174,casual,Public Rack - Ashland Ave & 63rd St,2,9.65
175,casual,Public Rack - Baltimore Ave & 132nd St,2,3.533333333
176,casual,Public Rack - California Ave & Pershing Rd,2,4.483333333
177,casual,Public Rack - Cottage Grove & 86th St,2,2.941666667
178,casual,Public Rack - Cottage Grove Ave & 92nd St,2,6.608333333
179,casual,Public Rack - Damen Ave & 47th St,2,9.266666667
180,casual,Public Rack - Emerald Ave & 45th St,2,17.25833333
181,casual,Public Rack - Forrestville Ave & 47th St,2,4.35
182,casual,Public Rack - Garfield Park Conservatory,2,22.6
183,casual,Public Rack - Halsted St & 111th St,2,9.375
184,casual,Public Rack - Homan Ave & 111th St,2,6.508333333
185,casual,Public Rack - Homan Ave & Lake St,2,37.975
186,casual,Public Rack - Hoyne Ave & 110th Pl,2,7.633333333
187,casual,Public Rack - Kedvale Ave & 26th St,2,4.125
188,casual,Public Rack - Kedzie & 103rd St - East,2,6.291666667
189,casual,Public Rack - Kedzie Ave & 54th St - SW,2,10.79166667
190,casual,Public Rack - Kedzie Ave & 60th St,2,7.591666667
191,casual,Public Rack - Kedzie Ave & 62nd Pl,2,2.875
192,casual,Public Rack - Kedzie Ave & Pershing Rd,2,9.033333333
193,casual,Public Rack - Kildare Ave & Division Ave,2,15
194,casual,Public Rack - Kimbark Ave & 63rd St,2,4.866666667
195,casual,Public Rack - King Dr & 83rd St,2,9.333333333
196,casual,Public Rack - Kostner Ave & 16th St,2,14.51666667
197,casual,Public Rack - Laflin St & 51st St,2,3.925
198,casual,Public Rack - Langley Ave & 79th St,2,20.24166667
199,casual,Public Rack - Menard Ave & Agusta Blvd,2,17.80833333
200,casual,Public Rack - Nordica Ave & Addison St,2,21.725
201,casual,Public Rack - Ozark Ave & Addison St,2,6.8
202,casual,Public Rack - Percy Julian HS,2,10.29166667
203,casual,Public Rack - Prairie Ave & Garfield Blvd N,2,9.641666667
204,casual,Public Rack - Racine Ave & 109th Pl,2,18.35
205,casual,Public Rack - Robert Fulton Elementary School,2,31.86666667
206,casual,Public Rack - Sawyer Ave & Chicago Ave,2,16.98333333
207,casual,Public Rack - St Louis Ave & Flournoy St,2,5.866666667
208,casual,Public Rack - Talman Ave & Pershing Rd,2,42.35833333
209,casual,Public Rack - Union Ave & 111th St,2,18.125
210,casual,Public Rack - Western Ave & 106th St - East,2,2.691666667
211,casual,Public Rack - Western Ave & 107th St,2,16.60833333
212,casual,Public Rack - Western Ave & 111th St - NW,2,5.083333333
213,casual,Public Rack - Western Ave & 118th St,2,12.04166667
214,casual,Public Rack - Whipple St & 63rd St,2,32.725
215,casual,Racine Ave & 74th St,2,26.925
216,casual,Stewart Ave & 123rd St,2,20.225
217,casual,Vincennes Ave & 87th St,2,11.79166667
218,casual,Vincennes Ave & 99th St,2,38.56666667
219,casual,Wallace St & 112 St,2,24.58333333
220,casual,West Chatham Park,2,19.25833333
221,casual,Yale Ave & 119th St,2,27.3
222,casual,10101 S Stony Island Ave,3,21.77777778
223,casual,Ashland Ave & 45th St,3,27.73333333
224,casual,Ashland Ave & 46th St,3,16.33333333
225,casual,Austin Ave & Wellington Ave - midblock,3,22.57777778
226,casual,Austin Blvd & North Ave,3,60.3
227,casual,Avenue J & 112th St,3,50.9
228,casual,Baltimore Ave & 132nd St,3,27.70555556
229,casual,Brighton Park Branch Chicago Library,3,25.46111111
230,casual,California Ave & Ogden Ave,3,8.305555556
231,casual,Cicero Ave & Altgeld St,3,9.422222222
232,casual,Cottage Grove & 85th St,3,5.533333333
233,casual,Cottage Grove Ave & 75th St,3,15.27222222
234,casual,Cottage Grove Ave & 87th St,3,20.56666667
235,casual,Cottage Grove Ave & 89th Pl,3,13.41111111
236,casual,Ewing Ave & 105th St,3,44.5
237,casual,Halsted St & 102nd St,3,7.466666667
238,casual,Halsted St & 41st St,3,21.61111111
239,casual,Halsted St & 95th St - SW,3,11.10555556
240,casual,Ingleside Ave & 79th St,3,14.77777778
241,casual,Kedzie & 103rd St - East,3,10.51111111
242,casual,Kedzie & 103rd St - West,3,18.67777778
243,casual,Keeler Ave & 55th St,3,13.47222222
244,casual,Kildare Ave & Washignton Blvd,3,22.53888889
245,casual,Kimbark Ave & 63rd St,3,26.47777778
246,casual,Lafayette Ave & 119th St,3,12.99444444
247,casual,Laramie Ave & Warwick Ave,3,13.06666667
248,casual,Longwood Dr & 95th St,3,14.30555556
249,casual,Loomis St & 87th St,3,12.20555556
250,casual,Maryland Ave & 87th ST,3,13.99444444
251,casual,Mt Greenwood Library - North,3,8.755555556
252,casual,Newcastle Ave & Wellington Ave,3,3.611111111
253,casual,Normal Ave & 72nd St,3,18.43333333
254,casual,Ozark Ave & Addison St,3,14.03333333
255,casual,Parnell Ave & 103rd St,3,11.77777778
256,casual,Parnell Ave & 98th St,3,7.261111111
257,casual,Perry Ave & 108th Pl,3,6.422222222
258,casual,Princeton Ave & 43rd St,3,11.33333333
259,casual,Public Rack - 10557 S Western Ave,3,5.7
260,casual,Public Rack - 63rd & Western Ave N,3,1.2
261,casual,Public Rack - California Ave & Touhy Ave - SW,3,7.183333333
262,casual,Public Rack - Central Park Ave & Fillmore St,3,4.122222222
263,casual,Public Rack - Central Park Ave & Fulton Blvd,3,9.038888889
264,casual,Public Rack - Cottage Grove Ave & 87th St,3,5.544444444
265,casual,Public Rack - Ewing Ave & 105th St,3,23.39444444
266,casual,Public Rack - Hamlin Ave & Madison St,3,8.722222222
267,casual,Public Rack - Jeffery Blvd & 81st St,3,13.02777778
268,casual,Public Rack - Jeffrey Blvd & 71st St,3,11.26666667
269,casual,Public Rack - Karlov Ave & 26th St,3,29.30555556
270,casual,Public Rack - Kedzie & 103rd St - W,3,9.488888889
271,casual,Public Rack - Kedzie Ave & 64th St - SE,3,14.21111111
272,casual,Public Rack - Keeler Ave & 55th St,3,5.25
273,casual,Public Rack - Kolin Ave & Archer Ave,3,11.25555556
274,casual,Public Rack - Lamon Ave & Erie St,3,19.92777778
275,casual,Public Rack - Laporte Ave & Armitage Ave,3,55.98333333
276,casual,Public Rack - Lawndale & 63rd St,3,19.55555556
277,casual,Public Rack - Michigan Ave & 107th St,3,37.14444444
278,casual,Public Rack - Milwaukee Ave & Waveland Ave,3,20
279,casual,Public Rack - Newcastle Ave & Belmont Ave,3,7.033333333
280,casual,Public Rack - Pulaski Rd & 15th St,3,9.772222222
281,casual,Public Rack - Pulaski Rd & 51st Rd,3,13.31666667
282,casual,Public Rack - Pulaski Rd & 65th St,3,14.36666667
283,casual,Public Rack - Sacramento Blvd & Division St,3,11.85555556
284,casual,Public Rack - Spencer Elementary Technology Academy,3,114.8555556
285,casual,Public Rack - Throop St & 109th Pl,3,20.83888889
286,casual,Public Rack - Vincennes Ave & 77th St,3,5.666666667
287,casual,Public Rack - Wallace St & 119th St,3,18.56666667
288,casual,Public Rack - Western Ave & 104th St - West,3,10.54444444
289,casual,Public Rack - Western Ave & 107th Pl,3,5.511111111
290,casual,Public Rack - Western Ave & 79th St,3,7.955555556
291,casual,Public Rack - Wood St & 47th St,3,17.26111111
292,casual,Sangamon St & 79th St,3,12.45
293,casual,State St & 47th st,3,15.93888889
294,casual,Waller Ave & Chicago Ave,3,78.93333333
295,casual,West Lawn Park,3,27.73888889
296,casual,Western Ave & 106th St - West,3,9.966666667
297,casual,Zapata Academy,3,18.25
298,casual,Avenue J & 106th St,4,23.6375
299,casual,Avondale Ave & Addison St,4,12.02916667
300,casual,Baltimore Ave & 133rd St,4,12.3875
301,casual,Central Ave & Congress Pkwy,4,63.01666667
302,casual,Central Ave & George St,4,8.229166667
303,casual,Champlain Ave & 134th St,4,101.5125
304,casual,Chopin Park,4,5.0625
305,casual,Commercial Ave & 89th St,4,27.62916667
306,casual,Cottage Grove Ave & 91st St,4,9.683333333
307,casual,Ewing Ave & 112th St,4,46.14583333
308,casual,Halsted St & 95th St - SE,4,9.554166667
309,casual,Harper Ave & 63rd St,4,6.654166667
310,casual,Harvey Ave & North Ave,4,16.43333333
311,casual,Kedvale Ave & Addison St,4,13.12083333
312,casual,Keeler Ave & Madison St,4,27.02083333
313,casual,Lafayette Ave & 87th St - NW,4,11.43333333
314,casual,Marshfield Ave & 45th St,4,14.27083333
315,casual,Menard Ave & Belmont Ave,4,12.73333333
316,casual,Michigan Ave & 110th St,4,68.47916667
317,casual,Parnell Ave & 119th St,4,6.833333333
318,casual,Public Rack - 111th St - Morgan Park Metra,4,9.7875
319,casual,Public Rack - Ashland Ave & 45th St,4,18.84166667
320,casual,Public Rack - Austin Ave & Wellington Ave - midblock,4,18.01666667
321,casual,Public Rack - Austin Branch Chicago Public Library,4,10.23333333
322,casual,Public Rack - Bell Ave & 95th St,4,13.6125
323,casual,Public Rack - Central Park Ave & 16th St,4,5.741666667
324,casual,Public Rack - Cicero Ave & Le Moyne St - midblock,4,23.57916667
325,casual,Public Rack - Eggleston Ave & 115th St,4,9.675
326,casual,Public Rack - Francisco Ave & Touhy Ave,4,16.84583333
327,casual,Public Rack - Grand Ave & Lawndale Ave,4,7.3
328,casual,Public Rack - Harriet E Sayre Public School,4,24.1125
329,casual,Public Rack - Kedzie Ave & 61st Pl,4,15.55
330,casual,Public Rack - Kedzie Ave & Chicago Ave,4,5.916666667
331,casual,Public Rack - Kenneth Ave & 63rd St E,4,17.2625
332,casual,Public Rack - King Dr & 71st St,4,6.441666667
333,casual,Public Rack - Langley Ave & Oakwood Blvd,4,28.50833333
334,casual,Public Rack - McVicker Ave & Grand Ave,4,8.654166667
335,casual,Public Rack - Peterson Ave & Bernard Ave,4,12.72916667
336,casual,Public Rack - Pulaski & 52nd,4,10.99166667
337,casual,Public Rack - Pulaski Rd & Flournoy St,4,4.141666667
338,casual,Public Rack - Racine Ave & 76th,4,82.56666667
339,casual,Public Rack - Western Ave & 111th St - SW,4,20.6
340,casual,Public Rack - Whipple St & 26th St,4,17.5
341,casual,Sacramento Blvd & Washington Blvd,4,11.49583333
342,casual,Spaulding Ave & Foster Ave,4,11.475
343,casual,Torrence Ave  & 106th St,4,26.09583333
344,casual,WestChi,4,38.48333333
345,casual,Bishop St & 46th St,5,17.63666667
346,casual,Bissell St & Armitage Ave - Charging,5,8.766666667
347,casual,Buffalo Ave & 89th St,5,7.27
348,casual,California Ave & Devon Ave - NW,5,37.55333333
349,casual,Central Ave & North Ave,5,19.93666667
350,casual,Cicero Ave & Cortland St - midblock,5,10.07333333
351,casual,Cottage Grove Ave & 98th St,5,6.673333333
352,casual,Ellis Ave & 132nd Pl,5,103.19
353,casual,Ewing Ave & 96th St,5,14.18666667
354,casual,Green St & 103rd St,5,4.86
355,casual,Harding Ave & 47th St,5,10.15
356,casual,Harriet E Sayre Public School,5,43.97666667
357,casual,Houston Ave & 91st St,5,9.563333333
358,casual,Mackinaw Ave & 106th St,5,17.16666667
359,casual,Martin Luther King Dr & 44th St,5,19.19333333
360,casual,McVicker Ave & Grand Ave,5,18.21333333
361,casual,Melvina Ave & Belmont Ave,5,7.456666667
362,casual,Menard Ave & Madison St,5,18.05
363,casual,Newland Ave & Diversey Ave,5,4.68
364,casual,Oleander Ave & Addison St,5,18.85333333
365,casual,Pittsburgh Ave & Irving Park,5,33.09666667
366,casual,Public Rack - 532 E 43rd St,5,14.85666667
367,casual,Public Rack - Al Raby School,5,16.28333333
368,casual,Public Rack - Ashland Ave & 91st St,5,26.58333333
369,casual,Public Rack - Brainerd Park,5,65.41666667
370,casual,Public Rack - Cornell Ave & 87th Pl,5,15.88
371,casual,Public Rack - Ewing Ave & 106th St,5,25.99
372,casual,Public Rack - Greenwood Ave & Lake Park Ave,5,25.90333333
373,casual,Public Rack - Halsted St & 64th St,5,19.40666667
374,casual,Public Rack - Hamilton Ave & 95th St,5,14.43666667
375,casual,Public Rack - Kedzie Ave & 58th St,5,8.543333333
376,casual,Public Rack - Kildare Ave & North Ave,5,10.50666667
377,casual,Public Rack - Langley Ave & 49th St,5,8.366666667
378,casual,Public Rack - Lorel Ave & Chicago Ave,5,24.87333333
379,casual,Public Rack - N Narragansett Ave & Grand Ave,5,11.9
380,casual,Public Rack - Neva Ave & Grand Ave,5,8.806666667
381,casual,Public Rack - Pulaski Rd & Grenshaw St,5,10.89666667
382,casual,Public Rack - Saginaw Ave & 93rd St,5,6.326666667
383,casual,Public Rack - Walden Pkwy & 99th St,5,10.23666667
384,casual,Public Rack - Wood St & 103rd St,5,13.11333333
385,casual,Public Rack - Woodlawn Ave & 63rd St S,5,15.7
386,casual,Public Rack - Zapata Academy,5,20.40333333
387,casual,Pulaski Rd & 40th St,5,18.85
388,casual,Stony Island Ave & 86th St,5,6.2
389,casual,Wentworth Ave & 103rd St,5,10.62333333
390,casual,Western Ave & 111th St - SW,5,10.50666667
391,casual,63rd & Western Ave - south corner,6,40.02777778
392,casual,Ashland Ave & 45th St - midblock south,6,13.775
393,casual,Austin Ave & Roscoe St,6,6.691666667
394,casual,Austin Branch Chicago Public Library,6,10.22222222
395,casual,California Ave & Pershing Rd,6,25.36666667
396,casual,Ewing Ave & 106th St,6,8.530555556
397,casual,Forrestville Ave & 47th St,6,30.09722222
398,casual,Halsted St & 94th St,6,13.19722222
399,casual,Hamlin Ave & Chicago Ave,6,16.025
400,casual,Kedzie Ave & Argyle St,6,13.95
401,casual,Longwood Dr & 111th St,6,10.00555556
402,casual,Marshfield Ave & 87th St,6,9.758333333
403,casual,Milwaukee Ave & Waveland Ave,6,9.144444444
404,casual,Mt Greenwood Library - South,6,45.725
405,casual,Public Rack - Colfax Ave & 83rd St,6,4.944444444
406,casual,Public Rack - Ewing Ave & 107th St,6,4.15
407,casual,Public Rack - Fairfield Ave & 63rd St,6,14.04444444
408,casual,Public Rack - Homan Ave & 26th St,6,11.10555556
409,casual,Public Rack - Hyde Park Blvd & 53rd St,6,16.39722222
410,casual,Public Rack - Kedzie Ave & 54th St - SE,6,9.088888889
411,casual,Public Rack - Kostner Ave & Wrightwood Ave,6,23.03888889
412,casual,Public Rack - Legler Regional Library,6,10.95555556
413,casual,Public Rack - Loomis St & 87th St,6,13.83888889
414,casual,Public Rack - Vincennes Ave & 95th St,6,17.25833333
415,casual,Sawyer Ave & 111th St,6,25.60555556
416,casual,Sawyer Ave & Bryn Mawr Ave - SE,6,12.075
417,casual,Throop St & 58th St,6,20.58055556
418,casual,Wilton Ave & Diversey Pkwy - Charging,6,8.941666667
419,casual,111th St - Morgan Park Metra,7,9.421428571
420,casual,Ada St & 79th St,7,64.38333333
421,casual,Cicero Ave & Wellington Ave,7,15.35
422,casual,Harvard Ave & 103rd St,7,5.180952381
423,casual,Kenneth Ave & 63rd St,7,16.06904762
424,casual,Kildare Ave & 63rd St,7,13.93571429
425,casual,Langley Ave & 79th St,7,22.20952381
426,casual,Latrobe Ave & Lake St,7,15.49285714
427,casual,Mackinaw Ave & 108th St,7,8.492857143
428,casual,Menard Ave & Agusta Blvd,7,38.03333333
429,casual,Morgan St & 87th St,7,9.673809524
430,casual,Newcastle Ave & Belmont Ave,7,12.70714286
431,casual,Public Rack - Avers Ave & Archer Ave,7,18.53571429
432,casual,Public Rack - Exchange Ave & 73rd Pl,7,18.08095238
433,casual,Public Rack - Halsted St & 95th St - SE,7,4.742857143
434,casual,Public Rack - Normal Ave & 111th St,7,7.173809524
435,casual,Public Rack - Prairie Ave & Garfield Blvd,7,34.79761905
436,casual,Public Rack - Rockwell & 111th St,7,6.619047619
437,casual,Public Rack - Sawyer Ave & Bryn Mawr Ave - SW,7,25.11904762
438,casual,Public Rack - Stony Island & 87th St,7,20.04761905
439,casual,Public Rack - Western Ave & 105th St,7,10.5547619
440,casual,Public Rack - Western Ave & 98th St,7,12.32142857
441,casual,Sacramento Ave & Greenleaf Ave,7,10.49285714
442,casual,Spaulding Ave & Bryn Mawr Ave,7,23.17857143
443,casual,Calumet Ave & Garfield Blvd,8,7.88125
444,casual,Greenwood Ave & Lake Park Ave,8,56.70208333
445,casual,Justine St & 87th St,8,12.35208333
446,casual,Kedvale Ave & 63rd St,8,34.11666667
447,casual,Kilbourn Ave & Fullerton Ave,8,16.11458333
448,casual,Menard Ave & Grand Ave,8,19.81458333
449,casual,Oketo Ave & Belmont Ave,8,9.539583333
450,casual,Public Rack - Chase Ave & Touhy Ave - NW,8,7.927083333
451,casual,Public Rack - Christiana Ave & Bryn Mawr Ave,8,14.38125
452,casual,Public Rack - Kedzie Ave & 64th St - SW,8,11.10416667
453,casual,Public Rack - Lawndale Ave & Polk St,8,15.27916667
454,casual,Public Rack - Menard Ave & Belmont Ave,8,13.85625
455,casual,Public Rack - Michele Clark Magnet High School,8,20.31875
456,casual,Public Rack - Paxton Ave & 79th St,8,11.21666667
457,casual,Public Rack - Pulaski Rd & 5th Ave,8,17.45208333
458,casual,Pullman - Ross Dress for Less,8,13.65208333
459,casual,Sawyer Ave & Lawrence Ave,8,19.075
460,casual,St Louis Ave & Berteau Ave,8,11.25
461,casual,Trumbull Ave & 111th St,8,9.327083333
462,casual,WEST CHI-WATSON,8,23.53541667
463,casual,Winchester Ave & 87th St,8,109.5104167
464,casual,Ashland Ave & 76th St,9,134.3722222
465,casual,California Ave & 29th St,9,25.77407407
466,casual,California Ave & Devon Ave - NE,9,26.04074074
467,casual,Central Ave & Corcoran Pl,9,12.42592593
468,casual,Cicero Ave & North Ave,9,15.54814815
469,casual,Emerald Ave & 43rd St,9,19.9462963
470,casual,Halsted St & 80th St,9,9.192592593
471,casual,Homan Ave & 111th St,9,14.67037037
472,casual,Kimball Ave & Carmen Ave,9,12.26296296
473,casual,Mason Ave & Roosevelt Rd,9,29.16851852
474,casual,Menard Ave & Dakin St - midblock,9,18.48148148
475,casual,Narragansett Ave & Fullerton Ave,9,9.703703704
476,casual,Public  Rack - Albany Ave & 63rd St,9,6.414814815
477,casual,Public Rack - Champlain Ave & 65th St,9,6.214814815
